"site","year","season","mean.temp","var.temp","sd.temp"
"AQUE",2005,"summer",15.4942001562364,3.47138038667021,1.86316407937417
"AQUE",2005,"winter",14.1625995024876,2.37121601090111,1.53987532316779
"AQUE",2006,"summer",16.2179489627636,3.42610960364513,1.85097531146289
"AQUE",2006,"winter",14.0095025306052,3.84716734855059,1.96141972778663
"AQUE",2007,"summer",16.1256210398403,2.87167166505732,1.69460073912923
"AQUE",2007,"winter",13.2739321081081,1.39647025183402,1.18172342442469
"AQUE",2008,"summer",16.6799956600989,3.73566757810613,1.93278751499127
"AQUE",2008,"winter",13.3160371254885,3.07326284698667,1.75307240209487
"AQUE",2009,"summer",16.0387949830744,2.77607029112412,1.66615434192758
"AQUE",2009,"winter",14.0571586893121,3.36781342015224,1.83516032546267
"AQUE",2010,"summer",14.7219894965278,1.5628921084929,1.25015683355845
