"","station","year","target_depth_m","name","n"
"409","MOHK",2011,5,"tchl",0
"410","MOHK",2011,5,"urea",1
"411","MOHK",2012,1,"ammonia",0.0833333333333333
"412","MOHK",2012,1,"no2_no3",0.25
"413","MOHK",2012,1,"po4",0
"414","MOHK",2012,1,"tchl",0
"415","MOHK",2012,1,"urea",1
"416","MOHK",2012,5,"ammonia",0.166666666666667
"417","MOHK",2012,5,"no2_no3",0.0833333333333333
"418","MOHK",2012,5,"po4",0
"419","MOHK",2012,5,"tchl",0
"420","MOHK",2012,5,"urea",1
"421","MOHK",2013,1,"ammonia",0.363636363636364
"422","MOHK",2013,1,"no2_no3",0.454545454545455
"423","MOHK",2013,1,"po4",0.363636363636364
"424","MOHK",2013,1,"tchl",0
"425","MOHK",2013,1,"urea",1
"426","MOHK",2013,5,"ammonia",0.454545454545455
"427","MOHK",2013,5,"no2_no3",0.454545454545455
"428","MOHK",2013,5,"po4",0.272727272727273
"429","MOHK",2013,5,"tchl",0
"430","MOHK",2013,5,"urea",1
"431","MOHK",2014,1,"ammonia",0.5
"432","MOHK",2014,1,"no2_no3",0.666666666666667
"433","MOHK",2014,1,"po4",0.0833333333333333
"434","MOHK",2014,1,"tchl",0
"435","MOHK",2014,1,"urea",1
"436","MOHK",2014,5,"ammonia",0.25
"437","MOHK",2014,5,"no2_no3",0.583333333333333
"438","MOHK",2014,5,"po4",0.0833333333333333
"439","MOHK",2014,5,"tchl",0
"440","MOHK",2014,5,"urea",1
"441","MOHK",2015,1,"ammonia",0.5
"442","MOHK",2015,1,"no2_no3",0.833333333333333
"443","MOHK",2015,1,"po4",0
"444","MOHK",2015,1,"tchl",0
"445","MOHK",2015,1,"urea",1
"446","MOHK",2015,5,"ammonia",0.25
"447","MOHK",2015,5,"no2_no3",0.666666666666667
"448","MOHK",2015,5,"po4",0
"449","MOHK",2015,5,"tchl",0
"450","MOHK",2015,5,"urea",1
"451","MOHK",2016,1,"ammonia",0.25
"452","MOHK",2016,1,"no2_no3",0.75
"453","MOHK",2016,1,"po4",0
"454","MOHK",2016,1,"tchl",0
"455","MOHK",2016,1,"urea",0.333333333333333
"456","MOHK",2016,5,"ammonia",0.416666666666667
"457","MOHK",2016,5,"no2_no3",0.5
"458","MOHK",2016,5,"po4",0
"459","MOHK",2016,5,"tchl",0
"460","MOHK",2016,5,"urea",0.333333333333333
"461","MOHK",2017,1,"ammonia",0.5
"462","MOHK",2017,1,"no2_no3",0.75
"463","MOHK",2017,1,"po4",0.166666666666667
"464","MOHK",2017,1,"tchl",0
"465","MOHK",2017,1,"urea",0
"466","MOHK",2017,5,"ammonia",0.25
"467","MOHK",2017,5,"no2_no3",0.75
"468","MOHK",2017,5,"po4",0.0833333333333333
"469","MOHK",2017,5,"tchl",0
"470","MOHK",2017,5,"urea",0
"471","MOHK",2018,1,"ammonia",0.666666666666667
"472","MOHK",2018,1,"no2_no3",0.666666666666667
"473","MOHK",2018,1,"po4",0.5
"474","MOHK",2018,1,"tchl",0
"475","MOHK",2018,1,"urea",0.25
"476","MOHK",2018,5,"ammonia",0.666666666666667
"477","MOHK",2018,5,"no2_no3",0.5
"478","MOHK",2018,5,"po4",0.166666666666667
"479","MOHK",2018,5,"tchl",0
"480","MOHK",2018,5,"urea",0.416666666666667
"481","NI",NA,NA,NA,NA
"482","NO",NA,NA,NA,NA
"483","NAPL",2000,1,"ammonia",1
"484","NAPL",2000,1,"no2_no3",0.5
"485","NAPL",2000,1,"po4",1
"486","NAPL",2000,1,"tchl",0
"487","NAPL",2000,1,"urea",1
"488","NAPL",2000,5,"ammonia",1
"489","NAPL",2000,5,"no2_no3",0.5
"490","NAPL",2000,5,"po4",1
"491","NAPL",2000,5,"tchl",0
"492","NAPL",2000,5,"urea",1
"493","NAPL",2000,10,"ammonia",1
"494","NAPL",2000,10,"no2_no3",0.5
"495","NAPL",2000,10,"po4",1
"496","NAPL",2000,10,"tchl",0
"497","NAPL",2000,10,"urea",1
"498","NAPL",2001,1,"ammonia",1
"499","NAPL",2001,1,"no2_no3",0.5
"500","NAPL",2001,1,"po4",0
"501","NAPL",2001,1,"tchl",0
"502","NAPL",2001,1,"urea",1
