"station","year","target_depth_m","max_ammonia","max_no2_no3","max_po4","max_tchl","max_urea","mean_ammonia","mean_no2_no3","mean_po4","mean_tchl","mean_urea"
"NAPL",2009,5,1424,1568,1969,7.464,NA,1006.36363636364,893.636363636364,1246.16666666667,3.185225,NA
"NAPL",2009,10,1535,1759,1939,8.169,NA,948.636363636364,1131.41666666667,1428.16666666667,3.55825833333333,NA
"NAPL",2010,1,1580,1741,1960,12.899,NA,1093.14285714286,1034.66666666667,894.5,3.77726666666667,NA
"NAPL",2010,5,1501,1748,1963,18.7377,NA,937,869.909090909091,1051.5,4.84716666666667,NA
"NAPL",2010,10,1540,1736,2054,8.2055,NA,1220.66666666667,1114.5,1565.41666666667,3.51885,NA
"NAPL",2011,1,1195,1612,2092,21.3376,NA,542.7,988.125,963.166666666667,4.8199,NA
"NAPL",2011,5,1616,1696,1912,19.6576,NA,901.25,1136.44444444444,1221.41666666667,5.30831666666667,NA
"NAPL",2011,10,1625,1760,2062,22.9965,NA,891.454545454545,1211.66666666667,1524.41666666667,5.80949166666667,NA
"NAPL",2012,1,699,1524,2028,9.683,NA,363.285714285714,755.125,1101.58333333333,2.7187375,NA
"NAPL",2012,5,935,1631,2020,10.628,NA,251.2,893.222222222222,1234.25,3.15411666666667,NA
"NAPL",2012,10,1392,1729,2025,9.123,NA,652.5,1038.09090909091,1447.95833333333,2.81532083333333,NA
"NAPL",2013,1,1391,1048,1419,5.843,NA,823.833333333333,752.333333333333,805.333333333333,2.03154545454545,NA
"NAPL",2013,5,1249,1666,1850,12.5289,NA,964,765,846.5,3.09714545454545,NA
"NAPL",2013,10,1536,1604,2032,7.5959,NA,1091.5,936.363636363636,1105.27272727273,2.30086363636364,NA
"NAPL",2014,1,938,1704,1778,7.3085,NA,311.625,1008,590.8,1.49576666666667,NA
"NAPL",2014,2,NA,NA,35,1.2532,NA,NA,NA,35,1.2532,NA
"NAPL",2014,5,782,1758,1896,9.5787,NA,394.375,953,554.636363636364,2.06834545454545,NA
"NAPL",2014,10,985,1236,2034,8.3814,NA,390.545454545455,795.166666666667,767.916666666667,2.62865,NA
"NAPL",2015,1,1132,725,758,7.0023,NA,410.166666666667,725,482.833333333333,1.65420833333333,NA
"NAPL",2015,5,1154,1291,1074,8.8115,NA,494.857142857143,867,514.666666666667,1.88825833333333,NA
"NAPL",2015,10,1409,1722,1825,5.6538,NA,591.125,1373,842,1.88000833333333,NA
"NAPL",2016,1,989,1732,1998,6.3071,277,696.857142857143,740.2,921,2.15433333333333,195
"NAPL",2016,5,1439,1746,1959,9.5361,259,695.571428571429,930.4,879,2.64045833333333,189.625
"NAPL",2016,10,1367,1757,1957,4.1964,270,495.5,903.545454545455,1317.5,2.233025,193.75
"NAPL",2017,1,1222,1109,1720,7.1364,231,491.5,742.333333333333,532,2.49720833333333,116.272727272727
"NAPL",2017,5,1216,1648,1729,8.6315,267,766.285714285714,888.666666666667,703,2.96941666666667,161.833333333333
"NAPL",2017,10,1380,1753,1946,8.1289,276,896.6,991.714285714286,1079.90909090909,2.58396666666667,128.833333333333
"NAPL",2018,1,1659,1495,1748,4.4732,174,1481,731.5,781.666666666667,1.91315833333333,65.25
"NAPL",2018,5,1670,1598,1862,4.9168,248,1561.5,673.571428571429,966.111111111111,2.249175,61.1428571428571
"NAPL",2018,10,1566,1725,2050,5.8006,241,658.25,1038.55555555556,1257.63636363636,2.79981666666667,57.8571428571429
"AQUE",2001,1,NA,1430,1727,1.8659,NA,NA,779,565,1.33545714285714,NA
"AQUE",2001,5,NA,1679,1877,5.3352,NA,NA,745.75,875.333333333333,1.94245714285714,NA
"AQUE",2001,9,NA,NA,583,1.5274,NA,NA,NA,583,1.5274,NA
"AQUE",2001,10,NA,1706,1945,3.0578,NA,NA,798.5,1067.6,1.51623333333333,NA
"AQUE",2002,1,1295,1397,1410,16.7248,NA,727.333333333333,747,887,5.8927,NA
"AQUE",2002,5,1426,1486,1782,8.0794,NA,1035.66666666667,964.428571428571,990.777777777778,3.49433,NA
"AQUE",2002,10,1199,1669,1594,8.0988,NA,998,1003.71428571429,1250.55555555556,2.84668,NA
"AQUE",2002,NA,NA,580.666666666667,1016.66666666667,6.2766,NA,NA,578.833333333333,984.166666666667,4.44176666666667,NA
"AQUE",2003,1,1607,1709,1997,68.6997,NA,622.222222222222,769.428571428571,977.111111111111,10.7420454545455,NA
"AQUE",2003,5,1649,1717,2041,11.3567,NA,722.8,788.125,1001.3,4.58805454545455,NA
"AQUE",2003,9,1654,1617,1804,1.089,NA,1654,1617,1804,1.089,NA
"AQUE",2003,10,1400,1500,2051,6.9035,NA,843.7,771.5,1088.9,3.2845,NA
"AQUE",2004,1,1596,1567,1749,9.537,NA,1180.88888888889,741.428571428571,840,3.83611111111111,NA
"AQUE",2004,5,1516,1104,1476,7.9757,NA,1095.6,609.625,708.5,3.62163333333333,NA
"AQUE",2004,10,1498,1113,1361,9.468,NA,1162.8,595.2,763.888888888889,3.34804444444444,NA
"AQUE",2005,1,1512,1320,1989,7.8823,NA,1049.125,698.222222222222,885.3,3.39114545454545,NA
"AQUE",2005,5,1623,1276,2026,9.4081,NA,1108.77777777778,671.6,925.181818181818,3.32381818181818,NA
"AQUE",2005,10,1650,1461,2031,6.9993,NA,1233.22222222222,923.8,1277.6,2.73414,NA
"AQUE",2006,1,1381,1560,1977,18.9728,NA,797.7,580.555555555556,877.090909090909,5.2358,NA
"AQUE",2006,5,1076,1678,1885,12.1032,NA,695.1,763.555555555556,1006.54545454545,4.66846666666667,NA
"AQUE",2006,10,1362,1642,2056,6.4751,NA,850.583333333333,1006.1,1280.54545454545,2.85146666666667,NA
"AQUE",2007,1,1310,1570,1786,21.1952,NA,623.666666666667,677,935.583333333333,6.051475,NA
"AQUE",2007,5,1300,1597,1799,23.9993,NA,814,797.625,1156,7.095825,NA
"AQUE",2007,9.5,894,NA,608,2.7026,NA,894,NA,608,2.7026,NA
"AQUE",2007,10,1551,1655,1887,12.9406,NA,787.428571428571,945.166666666667,1224.28571428571,4.32738571428571,NA
